gamma,time,basin
0.3933933933933934,224,2
0.3943943943943944,224,2
0.39539539539539537,223,2
0.3963963963963964,223,2
0.3973973973973974,223,2
0.3983983983983984,223,2
0.3993993993993994,223,2
0.40040040040040037,223,2
0.4014014014014014,223,2
0.4024024024024024,222,2
0.4034034034034034,222,2
0.4044044044044044,222,2
0.40540540540540543,222,2
0.4064064064064064,222,2
0.4074074074074074,222,2
0.4084084084084084,222,2
0.4094094094094094,222,2
0.41041041041041043,221,2
0.4114114114114114,221,2
0.4124124124124124,221,2
0.4134134134134134,221,2
0.4144144144144144,221,2
0.41541541541541543,221,2
0.4164164164164164,221,2
0.4174174174174174,221,2
0.4184184184184184,220,2
0.4194194194194194,220,2
0.42042042042042044,220,2
0.4214214214214214,220,2
0.4224224224224224,220,2
0.42342342342342343,220,2
0.4244244244244244,220,2
0.42542542542542544,220,2
0.4264264264264264,220,2
0.4274274274274274,219,2
0.42842842842842843,219,2
0.4294294294294294,219,2
0.43043043043043044,219,2
0.4314314314314314,219,2
0.43243243243243246,219,2
0.43343343343343343,219,2
0.4344344344344344,219,2
0.43543543543543545,218,2
0.4364364364364364,218,2
0.43743743743743746,218,2
0.43843843843843844,218,2
0.4394394394394394,218,2
0.44044044044044045,218,2
0.44144144144144143,218,2
0.44244244244244246,218,2
0.44344344344344344,218,2
0.4444444444444444,217,2
0.44544544544544545,217,2
0.44644644644644643,217,2
0.44744744744744747,217,2
0.44844844844844844,217,2
0.4494494494494494,217,2
0.45045045045045046,217,2
0.45145145145145144,217,2
0.45245245245245247,217,2
0.45345345345345345,217,2
0.4544544544544544,216,2
0.45545545545545546,216,2
0.45645645645645644,216,2
0.4574574574574575,216,2
0.45845845845845845,216,2
0.45945945945945943,216,2
0.46046046046046046,216,2
0.46146146146146144,216,2
0.4624624624624625,216,2
0.46346346346346345,216,2
0.46446446446446443,215,2
0.46546546546546547,215,2
0.46646646646646645,215,2
0.4674674674674675,215,2
0.46846846846846846,215,2
0.4694694694694695,215,2
0.47047047047047047,215,2
0.47147147147147145,215,2
0.4724724724724725,215,2
